Date,Start Time,End Time,Duration,Subject,Activity,Questions Attempted,Correct Answers,Notes
2026-07-27,09:00,11:00,2.0,Programming in C,Learning,0,0,
2026-07-27,16:00,19:00,3.0,Computer Organization & Architecture,Learning,0,0,
